student_id,teacher_id,activity_id,direction_match,teacher_capacity_ratio,teacher_popularity,history_accept_rate,gpa_level,portfolio_score,student_priority,same_track,label
1220204007,121050,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103242,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103100,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105689,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,114210,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104984,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,102936,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,109571,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,123023,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,102071,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105036,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104098,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,188014,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104053,686e1418b17f06430677f699,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,101077,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105041,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103139,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,108017,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,121050,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103242,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103100,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105689,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,114210,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104984,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,102936,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,109571,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,123023,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,102071,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105036,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104098,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,188014,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104053,688070338e8396b6e30941f1,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,101077,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105041,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103139,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,108017,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,121050,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103242,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103100,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105689,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,114210,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104984,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,102936,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,109571,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,123023,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,102071,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105036,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104098,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,188014,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104053,686e1444b17f06430677f69d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,101077,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105041,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103139,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,108017,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,121050,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103242,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103100,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105689,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,114210,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104984,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,102936,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,109571,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,123023,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,102071,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105036,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104098,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,188014,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104053,6899d32815fdaf590921b85d,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,101077,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105041,68f4f54ff8d5de36c07600c3,0.35,1.0,0.6667,0.0,0.0,0.45,1,0,1
1220204007,103139,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,108017,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,121050,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103242,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,103100,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,105689,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,114210,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,104984,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,102936,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
1220204007,109571,68f4f54ff8d5de36c07600c3,0.35,0.0,0.0,1.0,0.0,0.45,1,0,0
